,id,latitude,longitude,Coordinates
105,222516,52.361098230898705,4.858935153103977,POINT (29287871.60867633 24053633.76188478)
106,226121,52.35957301118511,4.86589459094221,POINT (29289072.53775698 24054915.20223324)
107,230710,52.37591434666808,4.878066562935041,POINT (29284404.32948894 24060091.00675611)
108,236180,52.365736470109674,4.8802090220914405,POINT (29288230.88569254 24058986.84473395)
109,236632,52.35613973312535,4.88847575208638,POINT (29292429.02311262 24059307.76554824)
110,237017,52.3714933602559,4.862764028623305,POINT (29284532.46263002 24056073.50395975)
111,239647,52.364516655500545,4.875872996810312,POINT (29288255.48391988 24057853.43553353)
112,245927,52.367912234286614,4.8880858190785865,POINT (29288200.34501194 24061039.54886132)
113,247805,52.36588424052564,4.872613822339188,POINT (29287460.54389281 24057354.17347015)
114,250702,52.346035277702406,4.897093661068418,POINT (29296840.970794 24059627.63548907)
115,250751,52.36609902269462,4.932987129096548,POINT (29293085.83074841 24070547.94174107)
116,251444,52.372314312023846,4.898560451903537,POINT (29287622.1613986 24064001.96256895)
117,252725,52.36718586381298,4.867373589491419,POINT (29286501.84209566 24056412.99311967)
118,253650,52.367751656756,4.889815058128981,POINT (29288420.88243358 24061391.68728063)
119,253792,52.37408073348525,4.897792585847227,POINT (29286920.59756991 24064107.16318357)
120,254104,52.36513246667161,4.908371799288464,POINT (29291106.23507277 24065032.61500501)
121,254800,52.3713086974301,4.882063422033223,POINT (29286421.95886612 24060251.13457964)
122,255177,52.356980877920925,4.890688061048634,POINT (29292338.55314023 24059919.86661969)
123,255202,52.376827040334476,4.889139866845394,POINT (29285125.37808918 24062645.1443468)
124,255809,52.34425830623576,4.887220320280407,POINT (29296540.65059403 24057200.58827559)
125,256340,52.368351014921636,4.924069390070278,POINT (29291442.08713464 24068951.05560217)
126,256670,52.35941331459236,4.859953007578639,POINT (29288567.70690105 24053595.43514725)
127,258273,52.3542004752309,4.8915960167125405,POINT (29293414.32380598 24059688.77512658)
128,260187,52.3580919064273,4.935606229701712,POINT (29296184.66897863 24069884.54722677)
129,261902,52.35605072558158,4.919385692227501,POINT (29295380.290551 24066033.09474375)
130,262209,52.3616422185585,4.938273700070705,POINT (29295172.02684661 24071013.46229231)
131,262394,52.35519127920091,4.851167699222689,POINT (29289240.11138573 24051028.44938172)
132,262562,52.37416858770747,4.8865013132855335,POINT (29285822.82703362 24061659.78646915)
133,264628,52.38333593144041,5.0037078895760665,POINT (29293614.08700894 24088621.87756077)
134,265349,52.360478436352,4.863450457840695,POINT (29288519.13392151 24054522.24638402)
135,266087,52.361643337443546,4.9025822184962715,POINT (29291801.94205485 24063232.23467322)
136,271599,52.35271074006004,4.857715661493579,POINT (29290742.36381541 24052072.7337535)
137,271787,52.37048754922962,4.879669027912172,POINT (29286488.13111325 24059602.52211473)
138,272597,52.3463259409881,4.856285933979298,POINT (29292880.1062011 24050775.124892)
139,274688,52.37842980388138,4.854837092707593,POINT (29281313.41870775 24055417.34797741)
140,276275,52.33921273616006,4.893759461764407,POINT (29298954.95895021 24057848.00405973)
141,277011,52.35829508439539,4.859091947726598,POINT (29288884.41174906 24053235.07143677)
142,278823,52.36599949646363,4.863530499078753,POINT (29286561.00033493 24055392.20120553)
143,282269,52.35017418763845,4.8525503850212495,POINT (29291156.91797599 24050555.02441036)
144,283170,52.35353190803815,4.87513957048843,POINT (29292097.21973695 24055997.90079524)
145,283621,52.38057059973004,4.885651833945759,POINT (29283462.79199968 24062462.79854817)
146,284319,52.360092579387,4.894611813107176,POINT (29291601.26918426 24061255.41284699)
147,286500,52.37496960705205,4.898844426998336,POINT (29286703.38934715 24064473.57312085)
148,289071,52.380373322653654,4.880206599315086,POINT (29283018.67620436 24061245.72000612)
149,290701,52.37614418117013,4.898936685217519,POINT (29286293.81235915 24064674.92116781)
150,291637,52.352505914635245,4.943384214796724,POINT (29298908.09726068 24070719.55733024)
151,291752,52.352786473399526,4.912563881379626,POINT (29295898.4711329 24064042.25568761)
152,293337,52.38170518097546,4.91440092191971,POINT (29285773.36842465 24068903.25538904)
153,293514,52.38744099692565,4.909601962312537,POINT (29283277.4883776 24068742.25926564)
154,294226,52.355888609675425,4.857073082184387,POINT (29289550.26749969 24052423.39133714)
155,294468,52.362943800075655,4.909439787170198,POINT (29291986.48441627 24064927.82087399)
156,296452,52.36627391376461,4.864991946686574,POINT (29286601.43475564 24055753.09991876)
157,297220,52.35755028092293,4.901441987906591,POINT (29293151.71776129 24062352.19882238)
158,300067,52.35668265041882,4.916947232348021,POINT (29294925.01274236 24065598.87965131)
159,301220,52.37154368698248,4.875964528610951,POINT (29285762.03827723 24058958.17055859)
160,302426,52.379971950216856,4.887070399875172,POINT (29283809.9700231 24062679.53593154)
161,304189,52.370938776639,4.876535074104979,POINT (29286031.3428125 24058989.13508144)
162,305200,52.369569405758476,4.888304336370156,POINT (29287630.89060818 24061342.93259424)
163,305809,52.384484691901044,4.871161920402936,POINT (29280700.1153277 24059909.57527356)
164,306852,52.35955184862691,4.897903333119472,POINT (29292104.74328268 24061889.54131588)
165,307470,52.37311831765251,4.9065281458072185,POINT (29288088.24955581 24065862.68406943)
166,307497,52.3933676008294,4.883008781989972,POINT (29278655.79460864 24063862.29068284)
167,308028,52.35853173707146,4.8975109293473515,POINT (29292430.91367937 24061646.60273185)
168,309436,52.3999228375966,4.920000147987165,POINT (29279812.92636975 24072933.61810397)
