,lat,lon,NAME,CAT,SHAPE
42,52.410513,4.748247,Shoeless open air Ruigoord,Music Venue,"{'x': 52.410513, 'y': 4.748247, 'spatialReference': {'wkid': 4326}}"
43,52.410512,4.74859,Shoeless OpemAir,Lounge,"{'x': 52.410512, 'y': 4.74859, 'spatialReference': {'wkid': 4326}}"
44,52.409847718478005,4.7493875026703,Spacen als planeten,Theme Park,"{'x': 52.409847718478005, 'y': 4.7493875026703, 'spatialReference': {'wkid': 4326}}"
45,52.399483529621,4.7459069341715,Amsterdamse golf club,Golf Course,"{'x': 52.399483529621, 'y': 4.7459069341715, 'spatialReference': {'wkid': 4326}}"
46,52.399418502582996,4.7459139890284,AGC,Golf Course,"{'x': 52.399418502582996, 'y': 4.7459139890284, 'spatialReference': {'wkid': 4326}}"
47,52.405081482377994,4.7558783002764,Ruigoord Kerk,Bar,"{'x': 52.405081482377994, 'y': 4.7558783002764, 'spatialReference': {'wkid': 4326}}"
48,52.403184513618,4.7594573015509,M1,Dive Bar,"{'x': 52.403184513618, 'y': 4.7594573015509, 'spatialReference': {'wkid': 4326}}"
49,52.419808905989,4.7685578503727,United Stevedores Amsterdam,Harbor / Marina,"{'x': 52.419808905989, 'y': 4.7685578503727, 'spatialReference': {'wkid': 4326}}"
50,52.425455704796,4.7710936933625,Amerikahaven,Harbor / Marina,"{'x': 52.425455704796, 'y': 4.7710936933625, 'spatialReference': {'wkid': 4326}}"
51,52.413517,4.768342,Tuss'n de Koei'n,Farm,"{'x': 52.413517, 'y': 4.768342, 'spatialReference': {'wkid': 4326}}"
52,52.396119,4.7670010000000005,Heining 21,Strip Club,"{'x': 52.396119, 'y': 4.7670010000000005, 'spatialReference': {'wkid': 4326}}"
53,52.396326,4.7663150000000005,Kompleks,Nightclub,"{'x': 52.396326, 'y': 4.7663150000000005, 'spatialReference': {'wkid': 4326}}"
54,52.396281,4.768845,Kompleks,Nightclub,"{'x': 52.396281, 'y': 4.768845, 'spatialReference': {'wkid': 4326}}"
55,52.397576298414,4.770681174472,Martin Gaus Hondenschool,Dog Run,"{'x': 52.397576298414, 'y': 4.770681174472, 'spatialReference': {'wkid': 4326}}"
56,52.393096,4.769814,Geuzenbos,Trail,"{'x': 52.393096, 'y': 4.769814, 'spatialReference': {'wkid': 4326}}"
57,52.384002331488,4.7698064354823,Haarlemmerweg,Field,"{'x': 52.384002331488, 'y': 4.7698064354823, 'spatialReference': {'wkid': 4326}}"
58,52.38851441213,4.769033515214599,Hondenschool Martin Gaus,Dog Run,"{'x': 52.38851441213, 'y': 4.769033515214599, 'spatialReference': {'wkid': 4326}}"
59,52.383872641048,4.7623700660265,Aristos Hal Amsterdam,Soccer Field,"{'x': 52.383872641048, 'y': 4.7623700660265, 'spatialReference': {'wkid': 4326}}"
60,52.388012389041,4.7741489306852,De Grote Braak,Campground,"{'x': 52.388012389041, 'y': 4.7741489306852, 'spatialReference': {'wkid': 4326}}"
61,52.38558596828,4.7781708420057,Uitzichtpunt picknicktafel lange bretten,Scenic Lookout,"{'x': 52.38558596828, 'y': 4.7781708420057, 'spatialReference': {'wkid': 4326}}"
62,52.385160801083,4.777250289917,Alex's Hill,Scenic Lookout,"{'x': 52.385160801083, 'y': 4.777250289917, 'spatialReference': {'wkid': 4326}}"
63,52.378907526596,4.761494134171,De Kwekerij,Farm,"{'x': 52.378907526596, 'y': 4.761494134171, 'spatialReference': {'wkid': 4326}}"
64,52.377646,4.774751999999999,Huisje Tuinpark Osdorp,Garden,"{'x': 52.377646, 'y': 4.774751999999999, 'spatialReference': {'wkid': 4326}}"
65,52.3750836,4.770317299999999,Kooter hooveniers,Farm,"{'x': 52.3750836, 'y': 4.770317299999999, 'spatialReference': {'wkid': 4326}}"
66,52.377583,4.7751980000000005,Tuinpark Osdorp,Garden,"{'x': 52.377583, 'y': 4.7751980000000005, 'spatialReference': {'wkid': 4326}}"
67,52.375923156738004,4.7755517959595,our tuinhuisje,Garden,"{'x': 52.375923156738004, 'y': 4.7755517959595, 'spatialReference': {'wkid': 4326}}"
68,52.373496163889996,4.7792767621347005,Volkstuin de Eendracht,Park,"{'x': 52.373496163889996, 'y': 4.7792767621347005, 'spatialReference': {'wkid': 4326}}"
69,52.36029,4.766698,De Boterbloem,Farm,"{'x': 52.36029, 'y': 4.766698, 'spatialReference': {'wkid': 4326}}"
70,52.370207010005,4.7778619313434,Konijnenopvang Amsterdam,Stables,"{'x': 52.370207010005, 'y': 4.7778619313434, 'spatialReference': {'wkid': 4326}}"
71,52.35802730323,4.765764128341,Pocahondas,Farm,"{'x': 52.35802730323, 'y': 4.765764128341, 'spatialReference': {'wkid': 4326}}"
72,52.37014,4.777237,Playreal,Arts & Entertainment,"{'x': 52.37014, 'y': 4.777237, 'spatialReference': {'wkid': 4326}}"
73,52.357989893634006,4.7588610649109,Lutkemeerpolder,Other Great Outdoors,"{'x': 52.357989893634006, 'y': 4.7588610649109, 'spatialReference': {'wkid': 4326}}"
74,52.351587638621,4.775326800098201,"Amsterdam, De Aker",Other Great Outdoors,"{'x': 52.351587638621, 'y': 4.775326800098201, 'spatialReference': {'wkid': 4326}}"
75,52.354093529321005,4.771261,Middle of Niets,Outdoors & Recreation,"{'x': 52.354093529321005, 'y': 4.771261, 'spatialReference': {'wkid': 4326}}"
